baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000303.12	2782.22631602881	5.8255289607047	0.143002867805617	40.7371477935904	0	0
ENSMUSG00000025608.9	4401.66107588957	8.31228291038548	0.197504350848621	42.0865812559061	0	0
ENSMUSG00000045545.8	4088.29979250429	9.1244417048175	0.238755795051159	38.216629266998	0	0
ENSMUSG00000047586.4	2408.96236911915	7.42299775004019	0.196905477390836	37.6982796436198	0	0
ENSMUSG00000054889.10	6835.30817812126	4.65300682719243	0.114963850255229	40.4736516466905	0	0
ENSMUSG00000097767.8	4106.77407374806	6.59502534482932	0.151459948473277	43.5430317473859	0	0
ENSMUSG00000020758.15	6336.69419572802	4.25982740214047	0.114955957113453	37.0561692417241	1.42865770339249e-300	4.10392129997373e-297
ENSMUSG00000030693.10	1240.47206579175	5.46811534736224	0.148339559580217	36.862151693293	1.86814811458544e-297	4.69559028601051e-294
ENSMUSG00000053797.10	2357.50857283841	7.97909219370405	0.21749466270153	36.6863816086091	1.20415849809238e-294	2.69035767551572e-291
ENSMUSG00000024406.16	2300.56855437857	4.4819607494804	0.123018870232491	36.4331158383265	1.27340024329371e-290	2.56055320921499e-287
ENSMUSG00000037820.15	3906.53527277478	4.02391077361577	0.110666140196251	36.3608124985647	1.77306765915092e-289	3.24116768092789e-286
ENSMUSG00000047281.3	1063.70823537809	5.25836522816235	0.149605942214059	35.1481040815783	1.24258636077319e-270	2.08216054520228e-267
ENSMUSG00000056602.12	1176.49468242755	5.38984193922967	0.153522288082703	35.1078791655719	5.11081428207338e-270	7.90525027568704e-267
ENSMUSG00000027375.14	3835.54485991725	5.7619431103581	0.164580381446695	35.0099025151688	1.59031379339753e-268	2.28414498268839e-265
ENSMUSG00000037185.9	1422.68171410608	4.99084032731207	0.143872086301631	34.6894276409438	1.13726792090879e-263	1.52454555690893e-260
ENSMUSG00000026413.12	1670.21813735503	5.50793998193582	0.162349081465591	33.926523835019	2.7076423411307e-252	3.40282951221601e-249
